0,SL,SW,PL,PW,1
51,5,2.3,3.3,1,2
52,4.9,2.4,3.3,1,2
53,5,2,3.5,1,2
54,5.7,2.6,3.5,1,2
55,5.5,2.4,3.7,1,2
56,6,2.2,4,1,2
57,5.8,2.7,4.1,1,2
58,5.1,2.5,3,1.1,2
59,5.5,2.4,3.8,1.1,2
60,5.6,2.5,3.9,1.1,2
61,5.8,2.7,3.9,1.2,2
62,5.8,2.6,4,1.2,2
63,5.7,3,4.2,1.2,2
64,5.5,2.6,4.4,1.2,2
65,6.1,2.8,4.7,1.2,2
66,5.6,2.9,3.6,1.3,2
67,5.5,2.3,4,1.3,2
68,5.5,2.5,4,1.3,2
69,6.1,2.8,4,1.3,2
70,5.7,2.8,4.1,1.3,2
71,5.6,3,4.1,1.3,2
72,5.6,2.7,4.2,1.3,2
73,5.7,2.9,4.2,1.3,2
74,6.2,2.9,4.3,1.3,2
75,6.4,2.9,4.3,1.3,2
76,6.3,2.3,4.4,1.3,2
77,5.7,2.8,4.5,1.3,2
78,6.6,2.9,4.6,1.3,2
79,5.2,2.7,3.9,1.4,2
80,6.6,3,4.4,1.4,2
81,6.7,3.1,4.4,1.4,2
82,6.1,3,4.6,1.4,2
83,6.1,2.9,4.7,1.4,2
84,7,3.2,4.7,1.4,2
85,6.8,2.8,4.8,1.4,2
86,5.9,3,4.2,1.5,2
87,6.2,2.2,4.5,1.5,2
88,6,2.9,4.5,1.5,2
89,5.4,3,4.5,1.5,2
90,5.6,3,4.5,1.5,2
91,6.4,3.2,4.5,1.5,2
92,6.5,2.8,4.6,1.5,2
93,6.7,3.1,4.7,1.5,2
94,6.3,2.5,4.9,1.5,2
95,6.9,3.1,4.9,1.5,2
96,6,3.4,4.5,1.6,2
97,6.3,3.3,4.7,1.6,2
98,6,2.7,5.1,1.6,2
99,6.7,3,5,1.7,2
100,5.9,3.2,4.8,1.8,2
